분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
경영·사무·금융·보험,[장애인 채용] 재택 근무 사무보조 사원 채용,(주)씨에스코리아,관계없음,학력무관,,,,장애인만 채용,중증장애인,계약직 1년,사무보조,블로그마케팅 업무 (원고작성),,,"(18142) 경기도 오산시 원동로7번길 11, 칠희빌딩 2층","주 5일 근무, 오후 10:00 ~ 14:30 (30분 쉬는시간 포함)",기간의 정함이 있는 근로계약,4대보험 필수가입,12개월,"월급 1,035,300원 이상 ~ 1,035,300원 이하",,,,오산고용센터,031-8024-9830,,~ 20240831,"팩스, 워크넷, 이메일",서류평가-면접-최종합격,,"['지체장애(중증)', '뇌병변장애(중증)']","['시각장애(중증)', '청각장애(중증)', '정신장애']",상용 인력 공급 및 인사관리 서비스업,49 명,양찬석,중소기업,"18142 경기도 오산시 원동로7번길 11, 칠희빌딩 2층"
교육·법률·사회복지·경찰·소방 및 군인,사회복지사 구인,지원재가노인복지센터,관계없음,학력무관,,,,장애인만 채용,치매 프로그램관리자 우대,기간의 정함이 없는 근로계약,사회복지사,"재가요양기관 사회복지 업무, 방문 업무 수행, 요양보호사 업무 수행 관리(RFID) 관련 서류",,,"울산광역시 중구 난곡15길 45, 1층 (태화동)",주 5일 근무 (오전 9시 ~ 오후 6시),,,,"월급 2,060,740원 이상",,,,,052-212-0221,,~ 채용시까지,이메일,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",그 외 기타 비거주 복지 서비스업,72 명,전소영,,"44433 울산광역시 중구 난곡15길 45, 1층 (태화동)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,"[장애인 재용] 의류 포장, 단순작업 등 직원 채용 공고","(주)신호에이피엘(SHINHOAPLCo.,Ltd)",관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제) 3 개월 / 계약기간 만료 후 상용직 전환 검토,"의류 포장 및 검사, 검수 등","티셔츠, 점퍼, 앞치마 등 의류 포장 및 검사검수, 미싱 보조",,,"서울특별시 중랑구 신내역로 111 (신내동, 신내에스케이브이1센터)","주 5일 근무, 오전/오후 중 택일 (오전) 9시 00분 ~ 12시 30분, (오후) 2시 00분 ~ 6시 00분",,,,"시급 9,860원 이상",,,,,02-2214-8115,,~ 2024-08-31,"방문, 팩스, 워크넷, 이메일",,,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '시각장애(중증)']","근무복, 작업복 및 유사의복 제조업",16 명,서영임,중소기업,"02262 서울특별시 중랑구 신내역로 111 (신내동, 신내에스케이브이1센터)"
미용·여행·숙박·음식·경비·돌봄·청소,경비원 모집,주식회사 우창개발,관계없음,학력무관,,(준)고령자(50세이상),,장애인만 채용,복지카드 소지자 우대,기간의 정함이 있는 근로계약,시설 경비,아파트 단지 시설 경비,,,"(14596) 경기도 부천시 원미구 부흥로 100, 한아름2차 (상동, 한아름마을)","주 3일 근무, (오전) 6시 00분 ~ (오전) 6시 00분","주간 4시간, 야간 6시간 40분",,5 개월,"시급 9,860원 이상",,,,,전화 010-4213-9009,,~ 채용시까지,"팩스, 기타",,,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",사업시설 유지․관리 서비스업,600 명,조병원,중소기업,"07557 서울특별시 강서구 양천로 738, 주식회사 우창개발 (염창동)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,"[장애인채용]미싱사,재봉사 등 의류 생산관련 직원 구합니다.","(주)신호에이피엘(SHINHOAPLCo.,Ltd)",경력 (최소3년) 필수,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약3 개월 / 계약기간 만료 후 상용직전환검토,"미싱사, 재봉사 등 의류 생산 관련 업무",의류수선 및 라벨 부착 등 기타 봉제 관련 업무,,,"(02262) 서울특별시 중랑구 신내역로 111, B동 424호 (신내동, 신내에스케이브이1센터)","평일 : (오전) 9시00분 ~ (오후) 12시30분 / (오후) 2시00분 ~ (오후) 6시00분, 오전 오후 중 택일","주 5일 근무, 훈련기간 있음",,,"시급 9,860원 이상 ~ 9,860원 이하",,,,,02-2214-8115,,~ 20240831,"방문, 워크넷, 이메일",,,"['지체장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']","근무복, 작업복 및 유사의복 제조업",16 명,서영임,중소기업,"02262 서울특별시 중랑구 신내역로 111 (신내동, 신내에스케이브이1센터)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,[장애인 채용] (주)반찬단지 생산직 모집,(주)반찬단지,관계없음,학력무관,,,,장애인만 채용,식품업 유경험자 우대,기간의 정함이 있는 근로계약 3개월 후 상용직 전환 검토,생산직,제품 포장 및 라벨작업,,,(22772) 인천광역시 서구 건지로95번길 20 (석남동),"평일 : 9시~18시 / 휴게시간 12시~13시, 월~금 주5일 근무",,,,"시급 9,860원 이상",,"작업 과정은 세척, 선별, 혼합, 포장의 순으로 진행되며 대부분이 수작업으로 이루어짐",,인천광역시 서구청,032-560-4317,,~ 채용시까지,기타(서구청 장애인일자리지원센터 지원문의 : 032-560-4317),,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['시각장애(중증)', '언어장애(중증)', '정신장애']",건어물 및 젓갈류 도매업,120명,우성명,중소기업,22853 인천광역시 서구 북항로 28-29 (원창동)
미용·여행·숙박·음식·경비·돌봄·청소,2024년 청도재가노인통합지원센터 노인맞춤돌봄서비스 생활지원사 (장애인제한경쟁) 채용 공고,오복누리원,관계없음,학력무관,무관,무관,무관,장애인만 채용,국가보훈대상자 및 장애인 우대,계약직,생활지원사,노인맞춤돌봄서비스 제공 및 지원 업무,무관,무관,청도재가노인통합지원센터 및 대상자 각 가정,"주 5일, 오전 9시 00분 ~ 오후 2시 30분",시간제,없음,채용시 ~ 2024. 12. 31.,"월급 1,285,750원 이상",12개월,재가노인 통합지원 관련,정보 없음,김다영,054-373-4116,3734118@hanmail.net,상시 접수,이메일 접수,서류전형 및 면접전형 (세부 일정 개별 통보),http://,"['지체장애(경증)', '뇌병변장애(경증)', '지적장애']","['청각장애(중증)', '정신장애']",그 외 기타 비거주 복지 서비스업,71 명,장상우,기타,경상북도 청도군 청도읍 고수동3길 46-18
경영·사무·금융·보험,[척수장애인재활지원센터] 재활코디네이터 모집,(사)한국척수장애인협회서울특별시협회,관계없음,학력무관,,,,장애인만 채용,"운전면허증, 사회복지사업 경력자 우대, 실제 운전 가능자 우대",기간의 정함이 없는 근로계약,재활코디네이터,척수장애인 재활훈련 지원사업 행정업무 및 기타 협회일반업무,,,"(06781) 서울특별시 서초구 언남16길 46, 남양빌딩 3층 (양재동)","평일 : 9시 00분 ~ 18시 00분, 주 5일 근무",,,정규직 (면접 후 채용시부터),"월급 2,060,740원 이상 ~ 2,060,740원 이하",,,,사회복지사 채용 담당자,02-786-8485,sscia@daum.net,~ 채용시까지,"방문, 우편, 워크넷, 이메일","1차 : 서류전형, 2차 : 면접",https://www.ablejob.co.kr/recruit/www.sscia.org,"['척수장애(경증)', '지체장애(경증)', '지체장애(중증)']","['청각장애(경증)', '청각장애(중증)', '정신장애']","서적, 잡지 및 기타 인쇄물 도매업",4 명,김의종,,"06781 서울특별시 서초구 언남16길 46, 남양빌딩 3층 (양재동)"
설치·정비·생산·전기·전자·정보통신,양혜근로작업장 <근로장애인> 채용 공고,사회복지법인 양혜원 양혜근로작업장,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 3 개월 / 계약기간 만료 후 상용직전환검토,LED 생산조립 및 임가공,LED 생산조립 및 임가공 (포장 및 라벨부착 등),,,"경기도 이천시 부발읍 가좌로103번길 63, 사회복지법인 양혜원 양혜근로작업장","주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분",,통근버스,,"시급 9,860원 이상 ~ 9,860원 이하",3개월,,"장애인용 주차장, 장애인용 화장실",,031-637-2486,,~ 채용시까지,"방문, 우편, 팩스, 워크넷, 이메일",,https://www.ablejob.co.kr/recruit/www.yhw.or.kr,"['지체장애(경증)', '시각장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",일반용 전기 조명장치 제조업,44 명,강현석,,"17329 경기도 이천시 부발읍 가좌로103번길 63, 사회복지법인 양혜원 양혜근로작업장"
기타,근로 장애인 채용 공고,성남시장애인복합사업장,관계없음,학력무관,,,,장애인만 채용,"관련업무 경험을 가진 자, 성남시 거주자",기간의 정함이 없는 근로계약(시간(선택)제),매장영업직원 / 물류직원,1. 기증물품 진열 및 정리 2. 고객응대 3. 물품운반 및 이동 4. 점내 외 청결관리 5. 기증물품 운반 및 정리정돈 6. 기증물품 상품화 7. 폐기물품 관리,,,경기도 성남시 중원구 둔촌대로 484,주 5일 (오전) 10시 00분 ~ (오후) 5시 00분,주 5일 근무,,,"시급 9,860원 이상 ~ 9,860원 이하",,,,,070-4632-2790,,~ 20240816,"방문, 우편, 이메일",,https://www.ablejob.co.kr/recruit/goodwillstore.org,"['지체장애(경증)', '청각장애(경증)', '시각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",기타 중고 상품 소매업,86 명,홍재근,,13229 경기도 성남시 중원구 둔촌대로 484
설치·정비·생산·전기·전자·정보통신,(주)포스뱅크 평택공장 장애인 직원 채용 (생산 조립 및 제품 및 자재 검사 업무),주식회사포스뱅크,관계없음,학력무관,,,,장애인만 채용,"1. 인근 거주자 우대, 2. 경증 장애인 우대",기간의 정함이 있는 근로계약 (12개월),생산 조립 및 제품 및 자재 검사,POS 및 키오스크(KIOSK) 출하 검사 or 수입 검사 (상황에 따라 직무는 변동될 수 있음),,,"(17796) 경기도 평택시 드림산단4로 45, 포스뱅크 평택공장","주 5일 근무, 오전 8시 30분 ~ 오후 5시 30분",정규직,"점심 식권 지급, 통근버스 운영",12개월 계약,"연봉 31,000,000원 이상 ~ 31,000,000원 이하",1년,,,,02-1588-6335,,~ 2024-08-07,"워크넷, 이메일",,,"['지체장애(경증)', '청각장애(경증)']","['지체장애(중증)', '청각장애(중증)', '정신장애']",컴퓨터 제조업,152명,은동욱,중소기업,"08506 서울특별시 금천구 가산디지털2로 108 (가산동, 뉴티캐슬805호 ~ 808호)"
경영·사무·금융·보험,비용심사팀 채용,태영상선 주식회사,경력 (최소 2년) 필수,대졸(4년) - 박사,,,,비희망,,기간의 정함이 있는 근로계약 12 개월 / 계약기간 만료 후 상용직 전환 검토,,"항비/화물비 심사 및 정산, 선박 관련 비용 심사, 용역업체 계약 등",,,서울특별시 중구 남대문로 63 505호(소공동),"평일 : 오전 9시 00분 ~ 오후 6시 00분, 주 5일 근무, 평균 근무시간 : 40시간",,"직원대출 제도, 기타(사내 동호회, 각종 경조사 지원 등)",,"연봉 42,000,000원 이상 ~ 42,000,000원 이하, 면접 후 재조정 가능",,,,,02-3783-9651,,~ 채용시까지,자사채용사이트(http://www.taiyoungship.co.kr/recruit/notice/index.do),,http://www.taiyoungship.co.kr/,"['지체장애(경증)', '내부장애(경증)']","['청각장애(중증)', '정신장애']",외항 화물 운송업,106 명,박영안,중견기업,"04532 서울특별시 중구 남대문로 63, 한진빌딩 본관 505호 (소공동)"
예술·디자인·방송·스포츠,[kakao 계열사] 링키지랩 UI디자이너 (경력),주식회사링키지랩,경력 (최소 1년),학력무관,무관,무관,무관,장애인만 채용,"UI 디자인 경력 1년~4년, 포토샵, 일러스트, 피그마 사용 가능, Mac 사용 가능",기간의 정함이 있는 근로계약 (12개월),UI디자인,"카카오 내부 플랫폼 UI 디자인, 데이터 시각화 디자인, 사용자 경험(UX) 측면의 디자인",,,"(04782) 서울특별시 성동구 성수일로6길 33, 3층 주식회사 링키지랩 (성수동2가, 아연디지털타워)","주 5일, (오전) 9시 30분 ~ (오후) 6시 30분",재택근무 포함 (월 2회 순환 출근),"자기성장포인트, 단체보험 가입, 건강검진 지원, 연차휴가, 경조사 지원 등",12개월,"월급 2,275,000원 이상, 면접 후 재조정 가능",,"초기 교육 후 재택근무, 출근 시 지원 직원이 동행","장애인용 주차장, 장애인용 승강기",,02-6452-5002,recruit.lkg@kakaocorp.com,~ 20240812,이메일,,https://www.linkagelab.co.kr/,"['청각장애(경증)', '청각장애(중증)', '지체장애(경증)', '지체장애(중증)']","['시각장애(경증)', '시각장애(중증)', '언어장애(경증)', '언어장애(중증)']",포털 및 기타 인터넷 정보매개 서비스업,200 명,박대영,대기업,"04782 서울특별시 성동구 성수일로6길 33 (성수동2가, 아연디지털타워)"
설치·정비·생산·전기·전자·정보통신,[kakao 계열사] AI학습데이터 구축 담당자 (신입),주식회사링키지랩,신입,학력무관,무관,무관,어문학/언어학 계열 전공 우대,장애인만 채용,질문/답변 관련 AI 학습데이터 구축 경험자 우대,기간의 정함이 있는 근로계약(12개월),AI 학습 데이터 구축,"AI 학습 데이터를 구축하고 다양한 데이터 분류 및 질의/응답 후보군 제작, AI를 이용한 최적화 학습",,,"(04782) 서울특별시 성동구 성수일로6길 33 (성수동2가, 아연디지털타워)","주 5일 근무, 09시 30분 ~ 18시 30분",계약직,,12개월,"월급 2,275,000원 이상",,,"장애인용 주차장, 장애인용 승강기",,02-6452-5002,recruit.lkg@kakaocorp.com,~ 2024-08-12,이메일,,https://www.linkagelab.co.kr/,"['지체장애(경증)', '청각장애(경증)', '뇌병변장애(경증)']",['정신장애'],포털 및 기타 인터넷 정보매개 서비스업,200 명,박대영,대기업,"04782 서울특별시 성동구 성수일로6길 33 (성수동2가, 아연디지털타워)"
경영·사무·금융·보험,글로벌 웹 운영 PMO,콘센트릭스서비스코리아 유한회사,경력 (최소 3년 이상),대졸(2~3년),,,,장애인 우대채용 심하지 않은 장애,"웹 사이트 확산 및 운영 경험 (PMO 경험자 선호), 퍼블리셔 업무 이해도",정규직,PMO,"글로벌 웹 운영 프로세스 관리 및 웹 제작/운영 가이드라인 배포, 웹 컨텐츠 운영 개선 기획, KPI 모니터링, 고객 커뮤니케이션 및 PMO 업무 수행",면접 후 결정,면접 후 결정,서울 용산구,,,,,연봉 (면접 시 협의),,,,전영일,010-2599-4586,youngil.jeon@concentrix.com,2024.08.02 ~ 2024.09.02,이메일,,,"['지체장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",,,,,서울 강남구 테헤란로 509
